villa,Q,E_Q,C_Q,surplus_edges,leaves,branches,max_depth,leaf_depth_sum,SPD_raw,SPD_norm,SRI_raw,SRI_norm
Angarano,24,27,1,4,11,8,9,63,5.727,0.768,0.148,0.667
Barbaro,26,25,1,0,11,7,7,50,4.545,0.501,0.000,0.000
Capra,18,19,1,2,9,4,3,21,2.333,0.000,0.105,0.474
Cornaro,13,13,1,1,6,4,4,15,2.500,0.038,0.077,0.346
Emo,24,29,1,6,8,5,7,34,4.250,0.434,0.207,0.931
Foscari,17,18,1,2,6,4,6,20,3.333,0.226,0.111,0.500
Pisani,21,22,1,2,7,5,8,36,5.143,0.636,0.091,0.409
Poiana,18,18,1,1,7,6,7,29,4.143,0.410,0.056,0.250
Ragona,15,18,1,4,5,3,4,17,3.400,0.242,0.222,1.000
Repeta,26,29,1,4,11,6,8,43,3.909,0.357,0.138,0.621
Saraceno,22,23,1,2,10,7,7,37,3.700,0.309,0.087,0.391
Serego,15,16,1,2,8,7,4,25,3.125,0.179,0.125,0.563
Thiene,52,60,1,9,16,13,10,108,6.750,1.000,0.150,0.675
Trissino,37,39,1,3,16,10,9,73,4.563,0.505,0.077,0.346
Valmarana,17,18,1,2,6,5,5,22,3.667,0.302,0.111,0.500
Zeno,21,21,1,1,9,7,8,40,4.444,0.478,0.048,0.214
